\begin{appendices}
\chapter{Charity data $N=328$}

\begin{longtable}{cccc} 
\hline
gaveamt	&	hhincome	&	female	&	age	\\
\hline
\endhead
400	&	92.5	&	0	&	76	\\
3000	&	80	&	1	&	79	\\
2800	&	45	&	0	&	68	\\
90	&	92.5	&	1	&	73	\\
990	&	80	&	1	&	68	\\
5610	&	67.5	&	1	&	62	\\
3150	&	67.5	&	0	&	33	\\
580	&	37.5	&	1	&	50	\\
550	&	45	&	1	&	64	\\
4250	&	92.5	&	1	&	69	\\
11749	&	55	&	0	&	76	\\
150	&	45	&	1	&	62	\\
190	&	67.5	&	1	&	37	\\
2640	&	80	&	0	&	64	\\
300	&	27.5	&	0	&	75	\\
622	&	45	&	1	&	68	\\
1600	&	92.5	&	1	&	67	\\
12400	&	80	&	1	&	47	\\
6000	&	67.5	&	1	&	32	\\
430	&	37.5	&	1	&	61	\\
10000	&	55	&	1	&	62	\\
200	&	22.5	&	1	&	61	\\
2335	&	80	&	1	&	63	\\
6200	&	67.5	&	0	&	35	\\
4000	&	67.5	&	1	&	49	\\
700	&	80	&	1	&	68	\\
800	&	27.5	&	1	&	70	\\
510	&	55	&	0	&	79	\\
2500	&	67.5	&	1	&	67	\\
3670	&	37.5	&	0	&	79	\\
100	&	45	&	0	&	71	\\
300	&	80	&	0	&	61	\\
950	&	55	&	1	&	57	\\
500	&	67.5	&	0	&	32	\\
896	&	92.5	&	1	&	62	\\
6135	&	80	&	0	&	54	\\
9200	&	92.5	&	0	&	61	\\
600	&	45	&	1	&	53	\\
375	&	45	&	1	&	78	\\
1100	&	22.5	&	0	&	57	\\
50	&	45	&	1	&	73	\\
400	&	55	&	1	&	61	\\
6172	&	80	&	1	&	64	\\
2095	&	92.5	&	0	&	43	\\
100	&	22.5	&	0	&	36	\\
150	&	22.5	&	1	&	43	\\
50	&	27.5	&	1	&	26	\\
1365	&	22.5	&	1	&	50	\\
100	&	45	&	1	&	49	\\
25	&	32.5	&	1	&	61	\\
1355	&	67.5	&	0	&	66	\\
1680	&	67.5	&	1	&	65	\\
3260	&	80	&	0	&	68	\\
900	&	55	&	0	&	69	\\
1327	&	55	&	0	&	55	\\
600	&	22.5	&	0	&	48	\\
100	&	45	&	0	&	68	\\
6000	&	27.5	&	0	&	42	\\
1500	&	22.5	&	1	&	54	\\
400	&	37.5	&	0	&	74	\\
225	&	92.5	&	0	&	66	\\
400	&	37.5	&	1	&	72	\\
2225	&	37.5	&	0	&	64	\\
9000	&	32.5	&	0	&	66	\\
1000	&	32.5	&	0	&	63	\\
25	&	67.5	&	1	&	66	\\
240	&	55	&	0	&	40	\\
1000	&	92.5	&	0	&	65	\\
225	&	45	&	1	&	72	\\
3100	&	67.5	&	0	&	73	\\
100	&	27.5	&	0	&	90	\\
451	&	80	&	0	&	58	\\
350	&	80	&	1	&	59	\\
8045	&	67.5	&	0	&	72	\\
100	&	22.5	&	1	&	55	\\
700	&	45	&	0	&	73	\\
1020	&	80	&	1	&	67	\\
1075	&	55	&	1	&	56	\\
12000	&	80	&	0	&	55	\\
120	&	80	&	1	&	62	\\
400	&	45	&	1	&	63	\\
500	&	67.5	&	0	&	51	\\
1000	&	55	&	0	&	57	\\
120	&	80	&	0	&	80	\\
700	&	67.5	&	0	&	61	\\
500	&	92.5	&	1	&	55	\\
7600	&	92.5	&	0	&	74	\\
465	&	92.5	&	1	&	53	\\
66	&	55	&	1	&	47	\\
700	&	67.5	&	1	&	58	\\
935	&	45	&	1	&	83	\\
785	&	55	&	1	&	58	\\
1750	&	92.5	&	1	&	65	\\
1120	&	27.5	&	0	&	77	\\
550	&	55	&	0	&	68	\\
25	&	45	&	1	&	71	\\
1000	&	92.5	&	0	&	69	\\
4500	&	55	&	1	&	79	\\
1050	&	32.5	&	1	&	64	\\
850	&	80	&	0	&	72	\\
240	&	22.5	&	1	&	27	\\
500	&	27.5	&	1	&	67	\\
600	&	92.5	&	1	&	40	\\
